,City,Lat,Lon,Temp,Humidity,Wind,Cloudiness,Date
0,saint-philippe,-21.36,55.77,62.4,77,5.82,40,1595792345
1,yellowknife,62.46,-114.35,71.29,40,9.17,20,1595792422
2,vila franca do campo,37.72,-25.43,73.4,78,10.29,40,1595792375
3,mar del plata,-38.0,-57.56,51.94,66,14.99,100,1595791992
4,busselton,-33.65,115.33,61.29,93,3.0,49,1595792587
5,kibray,41.39,69.46,87.8,20,13.87,35,1595792587
6,mataura,-46.19,168.86,39.0,83,3.0,0,1595792373
7,peterhead,57.51,-1.8,58.86,48,8.05,43,1595792588
8,matara,5.95,80.54,78.37,88,7.0,100,1595791994
9,vaini,-21.2,-175.2,68.0,94,5.82,40,1595792588
10,port alfred,-33.59,26.89,57.0,69,13.24,45,1595792588
11,rikitea,-23.12,-134.97,70.23,77,18.32,0,1595792588
12,tasiilaq,65.61,-37.64,46.4,75,8.05,100,1595792589
13,kroya,-7.63,109.25,73.2,88,5.79,89,1595792589
14,avera,33.19,-82.53,89.29,49,4.7,40,1595792513
15,kodiak,57.79,-152.41,59.0,67,11.41,90,1595792107
16,souillac,-20.52,57.52,69.8,73,16.11,75,1595792406
17,puerto ayora,-0.74,-90.35,74.57,57,23.04,20,1595792372
18,hobart,-42.88,147.33,43.36,87,5.82,40,1595792349
19,chotila,22.42,71.18,84.0,10,8.39,0,1595792590
20,porto murtinho,-21.7,-57.88,83.03,35,5.5,100,1595792590
21,mweka,-4.85,21.57,74.23,37,1.5,59,1595792590
22,coruripe,-10.13,-36.18,75.97,77,11.97,82,1595792413
23,barrow,71.29,-156.79,44.6,87,19.46,90,1595792101
24,pangnirtung,66.15,-65.71,48.2,87,10.29,40,1595792539
25,lao cai,22.48,103.95,77.88,84,1.72,100,1595792591
26,port hardy,50.7,-127.42,59.0,87,4.7,40,1595792418
27,cairns,-16.92,145.77,57.09,87,1.12,0,1595792591
28,ushuaia,-54.8,-68.3,33.8,90,20.8,40,1595792238
29,cape town,-33.93,18.42,54.99,71,21.92,20,1595792203
30,vanimo,-2.67,141.3,77.31,82,4.68,100,1595792047
31,jamestown,42.1,-79.24,83.34,57,9.17,75,1595792270
32,farafangana,-22.82,47.83,62.92,79,5.35,0,1595792595
33,gornopravdinsk,60.05,69.9,54.45,79,2.55,15,1595792418
34,mehamn,71.04,27.85,59.99,71,8.05,7,1595792133
35,penzance,50.12,-5.54,61.39,93,12.75,100,1595792506
36,gamboma,-1.88,15.86,82.9,46,2.71,95,1595792595
37,avarua,-21.21,-159.78,71.6,83,8.05,100,1595791972
38,berdyaush,55.16,59.15,55.94,92,3.06,100,1595792596
39,richards bay,-28.78,32.04,63.81,75,8.86,2,1595792486
40,vermilion,40.17,-87.75,88.88,70,9.17,75,1595792596
41,vitim,59.45,112.56,57.38,71,6.44,100,1595792596
42,castro,-24.79,-50.01,66.25,70,3.36,100,1595792275
