,City,Lat,Lon,Temp,Humidity,Wind,Cloudiness,Date
0,iqaluit,63.75,-68.51,55.2,76,2.24,75,1595892169
1,bilibino,68.05,166.44,52.45,54,5.5,94,1595892215
2,saint-philippe,-21.36,55.77,61.39,82,4.7,94,1595892111
3,olafsvik,64.89,-23.71,48.36,74,10.65,32,1595891954
4,caiaponia,-16.96,-51.81,68.54,40,2.48,0,1595892216
5,albany,42.6,-73.97,91.11,47,1.99,15,1595892082
6,new norfolk,-42.78,147.06,43.3,92,1.34,46,1595892066
7,gibsons,49.4,-123.5,79.95,60,1.99,49,1595892216
8,nikolskoye,59.7,30.79,59.23,77,6.71,22,1595892066
9,vaini,-21.2,-175.2,73.4,83,11.41,40,1595892075
10,punta arenas,-53.15,-70.92,35.29,55,12.75,40,1595892074
11,cidreira,-30.18,-50.21,60.89,97,2.01,100,1595892217
12,tuatapere,-46.13,167.68,41.0,91,1.01,100,1595892217
13,provideniya,64.38,-173.3,51.8,93,6.71,90,1595892134
14,atuona,-9.8,-139.03,79.63,71,25.23,1,1595892218
15,hermanus,-34.42,19.23,46.99,90,6.69,0,1595892218
16,arraial do cabo,-22.97,-42.03,73.4,73,12.75,20,1595892218
17,cockburn town,21.46,-71.14,82.4,77,18.45,0,1595892218
18,kibala,9.11,18.35,73.18,93,2.37,94,1595892219
19,norman wells,65.28,-126.83,73.4,38,8.05,75,1595892219
20,butka,56.72,63.79,52.48,96,6.51,13,1595892219
21,tripoli,32.88,13.19,77.67,72,8.43,0,1595892187
22,rikitea,-23.12,-134.97,72.25,75,11.12,78,1595892147
23,hambantota,6.12,81.12,80.19,78,15.37,100,1595892220
24,tiksi,71.69,128.87,39.52,87,14.9,100,1595892220
25,bredasdorp,-34.53,20.04,41.0,93,1.12,0,1595892097
26,mataura,-46.19,168.86,41.0,91,1.01,100,1595892220
27,popondetta,-8.75,148.25,85.23,61,1.3,77,1595892220
28,jamestown,42.1,-79.24,77.83,78,11.41,40,1595892101
29,ushuaia,-54.8,-68.3,33.8,80,20.8,40,1595892066
30,ahipara,-35.17,173.17,59.34,67,10.04,97,1595892221
31,anisoc,1.87,10.77,69.19,95,1.5,57,1595892221
32,georgetown,5.41,100.34,78.49,94,1.12,20,1595892221
33,ancud,-41.87,-73.82,41.0,93,4.7,49,1595892221
34,riorges,46.04,4.05,74.97,53,3.36,0,1595892222
35,ust-koksa,50.27,85.61,51.82,80,1.34,38,1595892222
36,hobart,-42.88,147.33,45.57,87,10.29,75,1595892057
37,east london,-33.02,27.91,57.97,73,14.56,12,1595892146
38,brigantine,39.41,-74.36,88.32,49,12.75,1,1595892027
39,havelock,34.88,-76.9,85.64,72,4.0,17,1595892043
40,vila franca do campo,37.72,-25.43,71.6,94,2.24,20,1595892223
41,port elizabeth,-33.92,25.57,50.0,76,5.82,0,1595892160
42,udachnyy,66.42,112.4,41.0,93,2.24,90,1595892223
43,nome,64.5,-165.41,51.01,87,17.22,90,1595892223
44,hithadhoo,-0.6,73.08,81.54,79,10.18,100,1595892224
45,amberley,39.2,-84.43,77.25,83,17.22,75,1595892224
46,mahebourg,-20.41,57.7,66.2,88,2.24,40,1595892224
47,moranbah,-22.0,148.05,58.55,40,5.19,0,1595892224
48,jalgaon,21.02,75.57,79.0,82,9.22,92,1595892224
49,shingu,33.73,135.98,78.8,100,6.93,75,1595892225
50,poum,-20.23,164.02,74.32,79,24.58,100,1595892221
51,chuy,-33.7,-53.46,50.22,86,6.15,52,1595892225
52,ponta do sol,32.67,-17.1,68.36,68,17.22,20,1595892225
53,manokwari,-0.87,134.08,77.32,82,4.7,100,1595892156
54,geraldton,-28.77,114.6,59.0,100,6.93,90,1595892226
55,pangnirtung,66.15,-65.71,62.6,51,13.87,90,1595892226
56,khatanga,71.97,102.5,48.24,65,6.87,0,1595892226
57,dikson,73.51,80.55,39.61,84,13.56,55,1595892167
58,pemangkat,1.17,108.97,74.86,89,5.08,78,1595892226
59,charlestown,-32.95,151.67,52.65,98,1.99,100,1595892060
60,saint-joseph,-21.37,55.62,62.44,82,4.7,97,1595892226
61,thompson,55.74,-97.86,64.4,68,12.75,75,1595892192
62,busselton,-33.65,115.33,45.91,98,7.85,2,1595892067
63,avarua,-21.21,-159.78,71.6,78,8.05,80,1595892205
64,butaritari,3.07,172.79,82.78,81,11.18,100,1595892227
65,yumen,40.28,97.2,68.97,21,7.61,0,1595891938
66,laguna,38.42,-121.42,95.94,23,9.17,1,1595892139
67,skjervoy,70.03,20.97,58.33,71,12.24,21,1595892228
68,cape town,-33.93,18.42,52.03,100,2.24,0,1595892015
